asn,subnet
AS45090,129.204.130.0/24
AS45090,134.175.250.0/24
AS45090,139.186.169.0/24
AS45090,43.143.73.0/24
AS45090,101.35.123.0/24
AS45090,1.12.255.0/24
AS45090,139.199.17.0/24
AS45090,49.232.233.0/24
AS45090,115.159.29.0/24
AS45090,114.117.179.0/24
AS45090,114.117.234.0/24
AS45090,43.138.207.0/24
AS45090,49.232.147.0/24
AS45090,124.222.51.0/24
AS45090,150.158.32.0/24
AS45090,43.136.110.0/24
AS45090,49.232.26.0/24
AS45090,43.139.66.0/24
AS45090,119.29.37.0/24
AS45090,49.232.232.0/24
AS45090,43.140.251.0/24
AS45090,120.53.45.0/24
AS45090,106.53.161.0/24
AS45090,175.27.240.0/24
AS45090,101.42.38.0/24
AS45090,119.45.22.0/24
AS45090,1.15.33.0/24
AS45090,124.222.12.0/24
AS4837,123.138.191.0/24
AS4837,123.132.147.0/24
AS4837,220.200.76.0/24
AS4837,124.152.76.0/24
AS4837,121.22.99.0/24
AS4837,221.197.222.0/24
AS4837,221.203.240.0/24
AS4837,110.53.68.0/24
AS4837,116.176.75.0/24
AS4837,116.176.61.0/24
AS4837,119.51.241.0/24
AS4837,221.2.40.0/24
AS4837,111.161.98.0/24
AS4837,39.64.240.0/24
AS4837,42.51.41.0/24
AS4837,123.234.3.0/24
AS4837,124.163.203.0/24
AS4837,221.10.187.0/24
AS4837,124.152.53.0/24
AS4837,60.217.64.0/24
AS4837,36.249.98.0/24
AS4837,153.99.92.0/24
AS4837,153.3.55.0/24
AS4837,113.239.5.0/24
AS4837,116.114.84.0/24
AS4837,1.30.199.0/24
AS4837,125.39.93.0/24
AS4837,116.176.76.0/24
AS4837,58.20.236.0/24
AS4837,220.202.11.0/24
AS4837,116.176.57.0/24
AS4837,60.29.128.0/24
AS4837,116.114.85.0/24
AS4837,42.51.42.0/24
AS4837,180.95.152.0/24
AS4837,125.46.38.0/24
AS4837,121.29.4.0/24
AS4837,221.207.55.0/24
AS4837,222.139.245.0/24
AS4837,58.19.38.0/24
AS4837,39.77.134.0/24
AS4837,27.204.136.0/24
AS4837,60.211.244.0/24
AS4837,221.202.158.0/24
AS4837,221.199.172.0/24
AS4837,221.2.170.0/24
AS4837,112.132.249.0/24
AS4837,125.39.148.0/24
AS4837,42.4.62.0/24
AS4837,116.140.211.0/24
AS4837,116.140.210.0/24
AS4837,116.177.172.0/24
AS4837,58.22.255.0/24
AS4837,183.92.116.0/24
AS4837,121.28.170.0/24
AS4837,123.156.230.0/24
AS4837,124.167.20.0/24
AS4837,218.60.77.0/24
AS4837,153.37.227.0/24
AS4837,180.129.130.0/24
AS4837,58.17.6.0/24
AS4837,182.91.14.0/24
AS4837,153.99.94.0/24
AS4837,58.245.210.0/24
AS4837,61.156.217.0/24
AS4837,116.147.40.0/24
AS4837,61.189.61.0/24
AS4837,116.171.27.0/24
AS4837,124.163.255.0/24
AS4837,116.176.62.0/24
AS4837,123.10.66.0/24
AS4837,58.23.76.0/24
AS4837,119.36.193.0/24
AS4837,122.189.240.0/24
AS4837,36.249.60.0/24
AS4837,221.8.22.0/24
AS4837,139.170.141.0/24
AS4837,139.210.170.0/24
AS4837,116.255.208.0/24
AS4837,123.139.118.0/24
AS4837,101.75.224.0/24
AS4837,119.51.253.0/24
AS4837,123.13.91.0/24
AS4837,116.169.217.0/24
AS4837,182.90.248.0/24
AS4837,113.237.186.0/24
AS4837,218.27.205.0/24
AS4837,60.12.106.0/24
AS4837,218.58.73.0/24
AS4837,220.196.191.0/24
AS4837,111.161.65.0/24
AS4837,123.13.88.0/24
AS4837,123.129.245.0/24
AS4837,221.2.140.0/24
AS4837,36.33.167.0/24
AS4837,58.240.17.0/24
AS4837,116.178.155.0/24
AS4837,175.42.62.0/24
AS4837,121.18.49.0/24
AS4837,124.88.174.0/24
AS4837,218.27.67.0/24
AS4837,202.111.183.0/24
AS4837,43.248.109.0/24
AS4837,113.200.216.0/24
AS4837,122.140.179.0/24
AS4837,112.86.146.0/24
AS4837,116.177.173.0/24
AS4837,61.179.73.0/24
AS4837,116.113.254.0/24
AS4837,61.168.104.0/24
AS4837,153.37.177.0/24
AS4837,119.62.156.0/24
AS4837,220.203.28.0/24
AS4837,119.51.237.0/24
AS4837,116.172.247.0/24
AS4837,27.223.98.0/24
AS4837,60.10.50.0/24
AS4837,218.29.239.0/24
AS4837,218.29.231.0/24
AS4837,218.62.114.0/24
AS4837,115.49.132.0/24
AS4837,123.139.116.0/24
AS4837,218.25.89.0/24
AS4837,123.157.223.0/24
AS4837,113.237.229.0/24
AS4837,116.176.58.0/24
AS4837,60.8.73.0/24
AS4837,116.114.94.0/24
AS4837,221.202.188.0/24
AS4837,112.254.142.0/24
AS4837,113.231.10.0/24
AS4837,122.192.42.0/24
AS4837,221.2.171.0/24
AS4837,60.223.251.0/24
AS4837,42.4.60.0/24
AS4837,58.18.80.0/24
AS4837,218.29.196.0/24
AS4837,1.30.20.0/24
AS4837,27.218.239.0/24
AS4837,119.6.55.0/24
AS4837,124.152.90.0/24
AS4837,218.28.18.0/24
AS4837,220.205.123.0/24
AS4837,101.205.122.0/24
AS4837,115.56.238.0/24
AS4837,116.113.241.0/24
AS4837,101.206.107.0/24
AS4837,221.2.168.0/24
AS4837,61.161.62.0/24
AS4837,60.223.245.0/24
AS4837,58.17.128.0/24
AS18403,42.112.42.0/24
AS18403,210.245.52.0/24
AS18403,183.81.33.0/24
AS18403,42.117.118.0/24
AS18403,1.55.33.0/24
AS18403,210.245.95.0/24
AS18403,58.186.20.0/24
AS18403,42.112.110.0/24
AS18403,183.81.105.0/24
AS18403,118.71.20.0/24
AS18403,118.70.80.0/24
AS31898,101.100.194.0/24
AS31898,161.118.204.0/24
AS31898,43.245.97.0/24
AS137718,115.190.113.0/24
AS137718,14.103.198.0/24
AS137718,118.145.235.0/24
AS137718,14.103.119.0/24
AS137718,14.103.84.0/24
AS137718,14.103.105.0/24
AS137718,101.126.22.0/24
AS137718,14.103.74.0/24
AS137718,115.190.127.0/24
AS137718,115.190.235.0/24
AS137718,14.103.117.0/24
AS137718,115.191.65.0/24
AS137718,101.126.64.0/24
AS137718,118.196.30.0/24
AS137718,118.145.243.0/24
AS137718,118.196.117.0/24
AS137718,115.190.26.0/24
AS137718,115.190.159.0/24
AS137718,14.103.108.0/24
AS137718,115.190.148.0/24
AS137718,101.126.23.0/24
AS137718,115.190.220.0/24
AS137718,101.126.146.0/24
