ip_range,ip_count
80.66.66.0/24,74
87.236.176.0/24,258
37.211.171.0/24,1
103.226.139.0/24,6
45.227.254.0/24,24
205.210.31.0/24,229
134.209.86.0/24,3
141.98.11.0/24,48
165.154.6.0/24,50
171.25.158.0/24,22
14.103.112.0/24,21
141.98.10.0/24,41
176.65.139.0/24,77
198.98.56.0/24,6
52.233.193.0/24,2
103.183.75.0/24,7
104.248.205.0/24,1
192.109.200.0/24,65
64.227.152.0/24,5
192.253.248.0/24,78
209.38.83.0/24,11
20.193.250.0/24,1
130.12.181.0/24,25
185.247.137.0/24,258
92.63.197.0/24,18
159.203.61.0/24,2
64.227.142.0/24,1
51.210.246.0/24,1
206.189.138.0/24,3
1.214.197.0/24,2
213.177.179.0/24,37
156.227.233.0/24,8
104.248.247.0/24,2
45.153.34.0/24,48
38.253.239.0/24,3
45.78.204.0/24,9
103.189.234.0/24,17
65.49.20.0/24,62
91.92.240.0/24,25
104.168.4.0/24,3
77.90.185.0/24,62
168.144.27.0/24,11
134.199.174.0/24,9
103.186.1.0/24,7
134.199.156.0/24,6
171.231.195.0/24,7
123.58.219.0/24,5
45.156.87.0/24,49
64.62.197.0/24,242
134.199.164.0/24,7
200.196.50.0/24,2
1.238.114.0/24,2
5.253.59.0/24,5
103.171.69.0/24,43
94.159.112.0/24,2
130.12.180.0/24,45
129.121.79.0/24,2
118.193.61.0/24,5
101.36.119.0/24,9
172.94.9.0/24,85
45.148.10.0/24,106
173.249.45.0/24,3
65.49.1.0/24,234
69.156.92.0/24,2
91.92.243.0/24,37
187.0.238.0/24,2
183.82.111.0/24,2
101.36.122.0/24,6
103.134.154.0/24,12
14.225.18.0/24,5
143.110.163.0/24,2
159.223.54.0/24,2
185.220.101.0/24,151
178.16.52.0/24,19
162.222.205.0/24,2
201.249.87.0/24,3
116.110.17.0/24,2
64.227.167.0/24,2
157.15.59.0/24,6
210.79.190.0/24,6
36.212.31.0/24,2
138.197.125.0/24,2
116.176.57.0/24,6
102.210.149.0/24,6
176.120.22.0/24,38
144.126.227.0/24,1
195.178.110.0/24,66
103.59.94.0/24,16
171.231.177.0/24,6
185.156.73.0/24,17
178.128.101.0/24,2
46.151.182.0/24,40
2.27.53.0/24,4
193.24.211.0/24,19
154.221.28.0/24,2
101.36.117.0/24,9
91.224.92.0/24,64
135.237.126.0/24,66
125.21.53.0/24,2
171.244.141.0/24,2
159.65.144.0/24,8
158.178.141.0/24,2
154.124.100.0/24,1
114.10.47.0/24,2
109.91.4.0/24,2
165.232.186.0/24,3
118.99.80.0/24,15
217.154.69.0/24,2
134.199.154.0/24,2
185.158.23.0/24,2
50.84.211.0/24,2
43.242.247.0/24,3
170.64.143.0/24,8
172.70.111.0/24,1
180.76.108.0/24,2
123.58.213.0/24,9
