hour_utc,total_attacks,ssh_brute_force,command_injection,attacks_per_minute
"2026-04-26 12:00:00",690,690,0,11.5
"2026-04-26 11:00:00",1872,1872,0,31.2
"2026-04-26 10:00:00",1656,1652,4,27.6
"2026-04-26 09:00:00",1926,1906,20,32.1
"2026-04-26 08:00:00",1938,1830,108,32.3
"2026-04-26 07:00:00",1872,1872,0,31.2
"2026-04-26 06:00:00",1656,1540,116,27.6
"2026-04-26 05:00:00",2232,1860,372,37.2
"2026-04-26 04:00:00",2280,2272,8,38.0
"2026-04-26 03:00:00",1254,1238,16,20.9
"2026-04-26 02:00:00",1872,1844,28,31.2
"2026-04-26 01:00:00",900,428,472,15.0
"2026-04-26 00:00:00",72,24,48,1.2
